"GEOID","NAME.x","variable","estimate","moe","NAME.y","sum_var","sum_est","sum_moe","pct"
"11001000100","Census Tract 1, District of Columbia, District of Columbia","B09001_001",947,260,"Census Tract 1, District of Columbia, District of Columbia","B01003_001",5209,403,18.18
"11001000201","Census Tract 2.01, District of Columbia, District of Columbia","B09001_001",27,48,"Census Tract 2.01, District of Columbia, District of Columbia","B01003_001",3685,384,0.73
"11001000202","Census Tract 2.02, District of Columbia, District of Columbia","B09001_001",474,136,"Census Tract 2.02, District of Columbia, District of Columbia","B01003_001",4817,560,9.84
"11001000300","Census Tract 3, District of Columbia, District of Columbia","B09001_001",752,213,"Census Tract 3, District of Columbia, District of Columbia","B01003_001",6095,625,12.34
"11001000400","Census Tract 4, District of Columbia, District of Columbia","B09001_001",282,50,"Census Tract 4, District of Columbia, District of Columbia","B01003_001",1578,147,17.87
"11001000501","Census Tract 5.01, District of Columbia, District of Columbia","B09001_001",349,133,"Census Tract 5.01, District of Columbia, District of Columbia","B01003_001",3502,338,9.97
"11001000502","Census Tract 5.02, District of Columbia, District of Columbia","B09001_001",367,39,"Census Tract 5.02, District of Columbia, District of Columbia","B01003_001",2973,205,12.34
"11001000600","Census Tract 6, District of Columbia, District of Columbia","B09001_001",739,119,"Census Tract 6, District of Columbia, District of Columbia","B01003_001",4722,335,15.65
"11001000701","Census Tract 7.01, District of Columbia, District of Columbia","B09001_001",480,189,"Census Tract 7.01, District of Columbia, District of Columbia","B01003_001",5245,490,9.15
"11001000702","Census Tract 7.02, District of Columbia, District of Columbia","B09001_001",214,89,"Census Tract 7.02, District of Columbia, District of Columbia","B01003_001",3316,391,6.45
"11001000801","Census Tract 8.01, District of Columbia, District of Columbia","B09001_001",1095,207,"Census Tract 8.01, District of Columbia, District of Columbia","B01003_001",6575,558,16.65
"11001000802","Census Tract 8.02, District of Columbia, District of Columbia","B09001_001",635,191,"Census Tract 8.02, District of Columbia, District of Columbia","B01003_001",3153,305,20.14
"11001000901","Census Tract 9.01, District of Columbia, District of Columbia","B09001_001",1096,133,"Census Tract 9.01, District of Columbia, District of Columbia","B01003_001",7790,802,14.07
"11001000902","Census Tract 9.02, District of Columbia, District of Columbia","B09001_001",750,112,"Census Tract 9.02, District of Columbia, District of Columbia","B01003_001",2455,192,30.55
"11001001001","Census Tract 10.01, District of Columbia, District of Columbia","B09001_001",1972,234,"Census Tract 10.01, District of Columbia, District of Columbia","B01003_001",7894,467,24.98
"11001001002","Census Tract 10.02, District of Columbia, District of Columbia","B09001_001",299,137,"Census Tract 10.02, District of Columbia, District of Columbia","B01003_001",3497,456,8.55
"11001001100","Census Tract 11, District of Columbia, District of Columbia","B09001_001",973,110,"Census Tract 11, District of Columbia, District of Columbia","B01003_001",4817,315,20.2
"11001001200","Census Tract 12, District of Columbia, District of Columbia","B09001_001",847,204,"Census Tract 12, District of Columbia, District of Columbia","B01003_001",4908,467,17.26
"11001001301","Census Tract 13.01, District of Columbia, District of Columbia","B09001_001",575,200,"Census Tract 13.01, District of Columbia, District of Columbia","B01003_001",4016,359,14.32
"11001001302","Census Tract 13.02, District of Columbia, District of Columbia","B09001_001",520,205,"Census Tract 13.02, District of Columbia, District of Columbia","B01003_001",7591,617,6.85
"11001001401","Census Tract 14.01, District of Columbia, District of Columbia","B09001_001",763,122,"Census Tract 14.01, District of Columbia, District of Columbia","B01003_001",3369,237,22.65
"11001001402","Census Tract 14.02, District of Columbia, District of Columbia","B09001_001",657,161,"Census Tract 14.02, District of Columbia, District of Columbia","B01003_001",3328,285,19.74
"11001001500","Census Tract 15, District of Columbia, District of Columbia","B09001_001",1792,217,"Census Tract 15, District of Columbia, District of Columbia","B01003_001",6350,469,28.22
"11001001600","Census Tract 16, District of Columbia, District of Columbia","B09001_001",796,146,"Census Tract 16, District of Columbia, District of Columbia","B01003_001",4175,277,19.07
"11001001702","Census Tract 17.02, District of Columbia, District of Columbia","B09001_001",412,116,"Census Tract 17.02, District of Columbia, District of Columbia","B01003_001",3083,267,13.36
"11001001803","Census Tract 18.03, District of Columbia, District of Columbia","B09001_001",1036,171,"Census Tract 18.03, District of Columbia, District of Columbia","B01003_001",4042,348,25.63
"11001001804","Census Tract 18.04, District of Columbia, District of Columbia","B09001_001",1196,309,"Census Tract 18.04, District of Columbia, District of Columbia","B01003_001",5619,736,21.28
"11001001901","Census Tract 19.01, District of Columbia, District of Columbia","B09001_001",846,228,"Census Tract 19.01, District of Columbia, District of Columbia","B01003_001",3997,402,21.17
"11001001902","Census Tract 19.02, District of Columbia, District of Columbia","B09001_001",362,146,"Census Tract 19.02, District of Columbia, District of Columbia","B01003_001",2337,244,15.49
"11001002001","Census Tract 20.01, District of Columbia, District of Columbia","B09001_001",541,98,"Census Tract 20.01, District of Columbia, District of Columbia","B01003_001",2848,332,19
"11001002002","Census Tract 20.02, District of Columbia, District of Columbia","B09001_001",778,233,"Census Tract 20.02, District of Columbia, District of Columbia","B01003_001",3911,537,19.89
"11001002101","Census Tract 21.01, District of Columbia, District of Columbia","B09001_001",1372,469,"Census Tract 21.01, District of Columbia, District of Columbia","B01003_001",5859,671,23.42
"11001002102","Census Tract 21.02, District of Columbia, District of Columbia","B09001_001",857,249,"Census Tract 21.02, District of Columbia, District of Columbia","B01003_001",4921,470,17.42
"11001002201","Census Tract 22.01, District of Columbia, District of Columbia","B09001_001",631,185,"Census Tract 22.01, District of Columbia, District of Columbia","B01003_001",3704,328,17.04
"11001002202","Census Tract 22.02, District of Columbia, District of Columbia","B09001_001",997,219,"Census Tract 22.02, District of Columbia, District of Columbia","B01003_001",3974,546,25.09
"11001002301","Census Tract 23.01, District of Columbia, District of Columbia","B09001_001",576,155,"Census Tract 23.01, District of Columbia, District of Columbia","B01003_001",3220,382,17.89
"11001002302","Census Tract 23.02, District of Columbia, District of Columbia","B09001_001",92,40,"Census Tract 23.02, District of Columbia, District of Columbia","B01003_001",1711,235,5.38
"11001002400","Census Tract 24, District of Columbia, District of Columbia","B09001_001",607,130,"Census Tract 24, District of Columbia, District of Columbia","B01003_001",4257,389,14.26
"11001002501","Census Tract 25.01, District of Columbia, District of Columbia","B09001_001",490,173,"Census Tract 25.01, District of Columbia, District of Columbia","B01003_001",2648,373,18.5
"11001002502","Census Tract 25.02, District of Columbia, District of Columbia","B09001_001",1179,420,"Census Tract 25.02, District of Columbia, District of Columbia","B01003_001",5852,709,20.15
"11001002600","Census Tract 26, District of Columbia, District of Columbia","B09001_001",417,72,"Census Tract 26, District of Columbia, District of Columbia","B01003_001",2573,171,16.21
"11001002701","Census Tract 27.01, District of Columbia, District of Columbia","B09001_001",980,258,"Census Tract 27.01, District of Columbia, District of Columbia","B01003_001",5428,574,18.05
"11001002702","Census Tract 27.02, District of Columbia, District of Columbia","B09001_001",887,230,"Census Tract 27.02, District of Columbia, District of Columbia","B01003_001",6300,620,14.08
"11001002801","Census Tract 28.01, District of Columbia, District of Columbia","B09001_001",864,158,"Census Tract 28.01, District of Columbia, District of Columbia","B01003_001",4033,394,21.42
"11001002802","Census Tract 28.02, District of Columbia, District of Columbia","B09001_001",892,230,"Census Tract 28.02, District of Columbia, District of Columbia","B01003_001",4750,513,18.78
"11001002900","Census Tract 29, District of Columbia, District of Columbia","B09001_001",683,172,"Census Tract 29, District of Columbia, District of Columbia","B01003_001",4567,390,14.96
"11001003000","Census Tract 30, District of Columbia, District of Columbia","B09001_001",720,229,"Census Tract 30, District of Columbia, District of Columbia","B01003_001",3534,338,20.37
"11001003100","Census Tract 31, District of Columbia, District of Columbia","B09001_001",572,227,"Census Tract 31, District of Columbia, District of Columbia","B01003_001",3350,406,17.07
"11001003200","Census Tract 32, District of Columbia, District of Columbia","B09001_001",799,168,"Census Tract 32, District of Columbia, District of Columbia","B01003_001",4997,547,15.99
"11001003301","Census Tract 33.01, District of Columbia, District of Columbia","B09001_001",328,146,"Census Tract 33.01, District of Columbia, District of Columbia","B01003_001",3619,389,9.06
"11001003302","Census Tract 33.02, District of Columbia, District of Columbia","B09001_001",326,113,"Census Tract 33.02, District of Columbia, District of Columbia","B01003_001",2338,224,13.94
"11001003400","Census Tract 34, District of Columbia, District of Columbia","B09001_001",347,143,"Census Tract 34, District of Columbia, District of Columbia","B01003_001",4716,492,7.36
"11001003500","Census Tract 35, District of Columbia, District of Columbia","B09001_001",501,239,"Census Tract 35, District of Columbia, District of Columbia","B01003_001",5603,585,8.94
"11001003600","Census Tract 36, District of Columbia, District of Columbia","B09001_001",443,179,"Census Tract 36, District of Columbia, District of Columbia","B01003_001",5036,642,8.8
"11001003700","Census Tract 37, District of Columbia, District of Columbia","B09001_001",1000,341,"Census Tract 37, District of Columbia, District of Columbia","B01003_001",5860,555,17.06
"11001003800","Census Tract 38, District of Columbia, District of Columbia","B09001_001",373,171,"Census Tract 38, District of Columbia, District of Columbia","B01003_001",4969,549,7.51
"11001003900","Census Tract 39, District of Columbia, District of Columbia","B09001_001",207,33,"Census Tract 39, District of Columbia, District of Columbia","B01003_001",4492,358,4.61
"11001004001","Census Tract 40.01, District of Columbia, District of Columbia","B09001_001",357,100,"Census Tract 40.01, District of Columbia, District of Columbia","B01003_001",4120,441,8.67
"11001004002","Census Tract 40.02, District of Columbia, District of Columbia","B09001_001",207,101,"Census Tract 40.02, District of Columbia, District of Columbia","B01003_001",2998,267,6.9
"11001004100","Census Tract 41, District of Columbia, District of Columbia","B09001_001",280,95,"Census Tract 41, District of Columbia, District of Columbia","B01003_001",2759,225,10.15
"11001004201","Census Tract 42.01, District of Columbia, District of Columbia","B09001_001",149,74,"Census Tract 42.01, District of Columbia, District of Columbia","B01003_001",3625,283,4.11
"11001004202","Census Tract 42.02, District of Columbia, District of Columbia","B09001_001",108,50,"Census Tract 42.02, District of Columbia, District of Columbia","B01003_001",2635,246,4.1
"11001004300","Census Tract 43, District of Columbia, District of Columbia","B09001_001",419,92,"Census Tract 43, District of Columbia, District of Columbia","B01003_001",3720,297,11.26
"11001004400","Census Tract 44, District of Columbia, District of Columbia","B09001_001",382,128,"Census Tract 44, District of Columbia, District of Columbia","B01003_001",5702,376,6.7
"11001004600","Census Tract 46, District of Columbia, District of Columbia","B09001_001",541,175,"Census Tract 46, District of Columbia, District of Columbia","B01003_001",2947,308,18.36
"11001004701","Census Tract 47.01, District of Columbia, District of Columbia","B09001_001",984,397,"Census Tract 47.01, District of Columbia, District of Columbia","B01003_001",4478,641,21.97
"11001004702","Census Tract 47.02, District of Columbia, District of Columbia","B09001_001",190,86,"Census Tract 47.02, District of Columbia, District of Columbia","B01003_001",2558,226,7.43
