"GEOID","NAME.x","variable","estimate","moe","NAME.y","sum_var","sum_est","sum_moe","pct"
"11001000100","Census Tract 1, District of Columbia, District of Columbia","B26001_001",21,10,"Census Tract 1, District of Columbia, District of Columbia","B01003_001",5209,403,0.4
"11001000201","Census Tract 2.01, District of Columbia, District of Columbia","B26001_001",3675,383,"Census Tract 2.01, District of Columbia, District of Columbia","B01003_001",3685,384,99.73
"11001000202","Census Tract 2.02, District of Columbia, District of Columbia","B26001_001",914,476,"Census Tract 2.02, District of Columbia, District of Columbia","B01003_001",4817,560,18.97
"11001000300","Census Tract 3, District of Columbia, District of Columbia","B26001_001",0,17,"Census Tract 3, District of Columbia, District of Columbia","B01003_001",6095,625,0
"11001000400","Census Tract 4, District of Columbia, District of Columbia","B26001_001",26,36,"Census Tract 4, District of Columbia, District of Columbia","B01003_001",1578,147,1.65
"11001000501","Census Tract 5.01, District of Columbia, District of Columbia","B26001_001",62,57,"Census Tract 5.01, District of Columbia, District of Columbia","B01003_001",3502,338,1.77
"11001000502","Census Tract 5.02, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 5.02, District of Columbia, District of Columbia","B01003_001",2973,205,0
"11001000600","Census Tract 6, District of Columbia, District of Columbia","B26001_001",212,113,"Census Tract 6, District of Columbia, District of Columbia","B01003_001",4722,335,4.49
"11001000701","Census Tract 7.01, District of Columbia, District of Columbia","B26001_001",5,6,"Census Tract 7.01, District of Columbia, District of Columbia","B01003_001",5245,490,0.1
"11001000702","Census Tract 7.02, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 7.02, District of Columbia, District of Columbia","B01003_001",3316,391,0
"11001000801","Census Tract 8.01, District of Columbia, District of Columbia","B26001_001",431,309,"Census Tract 8.01, District of Columbia, District of Columbia","B01003_001",6575,558,6.56
"11001000802","Census Tract 8.02, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 8.02, District of Columbia, District of Columbia","B01003_001",3153,305,0
"11001000901","Census Tract 9.01, District of Columbia, District of Columbia","B26001_001",3392,777,"Census Tract 9.01, District of Columbia, District of Columbia","B01003_001",7790,802,43.54
"11001000902","Census Tract 9.02, District of Columbia, District of Columbia","B26001_001",6,3,"Census Tract 9.02, District of Columbia, District of Columbia","B01003_001",2455,192,0.24
"11001001001","Census Tract 10.01, District of Columbia, District of Columbia","B26001_001",336,160,"Census Tract 10.01, District of Columbia, District of Columbia","B01003_001",7894,467,4.26
"11001001002","Census Tract 10.02, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 10.02, District of Columbia, District of Columbia","B01003_001",3497,456,0
"11001001100","Census Tract 11, District of Columbia, District of Columbia","B26001_001",89,85,"Census Tract 11, District of Columbia, District of Columbia","B01003_001",4817,315,1.85
"11001001200","Census Tract 12, District of Columbia, District of Columbia","B26001_001",27,17,"Census Tract 12, District of Columbia, District of Columbia","B01003_001",4908,467,0.55
"11001001301","Census Tract 13.01, District of Columbia, District of Columbia","B26001_001",115,49,"Census Tract 13.01, District of Columbia, District of Columbia","B01003_001",4016,359,2.86
"11001001302","Census Tract 13.02, District of Columbia, District of Columbia","B26001_001",0,17,"Census Tract 13.02, District of Columbia, District of Columbia","B01003_001",7591,617,0
"11001001401","Census Tract 14.01, District of Columbia, District of Columbia","B26001_001",8,10,"Census Tract 14.01, District of Columbia, District of Columbia","B01003_001",3369,237,0.24
"11001001402","Census Tract 14.02, District of Columbia, District of Columbia","B26001_001",60,111,"Census Tract 14.02, District of Columbia, District of Columbia","B01003_001",3328,285,1.8
"11001001500","Census Tract 15, District of Columbia, District of Columbia","B26001_001",225,100,"Census Tract 15, District of Columbia, District of Columbia","B01003_001",6350,469,3.54
"11001001600","Census Tract 16, District of Columbia, District of Columbia","B26001_001",50,35,"Census Tract 16, District of Columbia, District of Columbia","B01003_001",4175,277,1.2
"11001001702","Census Tract 17.02, District of Columbia, District of Columbia","B26001_001",56,41,"Census Tract 17.02, District of Columbia, District of Columbia","B01003_001",3083,267,1.82
"11001001803","Census Tract 18.03, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 18.03, District of Columbia, District of Columbia","B01003_001",4042,348,0
"11001001804","Census Tract 18.04, District of Columbia, District of Columbia","B26001_001",29,47,"Census Tract 18.04, District of Columbia, District of Columbia","B01003_001",5619,736,0.52
"11001001901","Census Tract 19.01, District of Columbia, District of Columbia","B26001_001",18,21,"Census Tract 19.01, District of Columbia, District of Columbia","B01003_001",3997,402,0.45
"11001001902","Census Tract 19.02, District of Columbia, District of Columbia","B26001_001",14,14,"Census Tract 19.02, District of Columbia, District of Columbia","B01003_001",2337,244,0.6
"11001002001","Census Tract 20.01, District of Columbia, District of Columbia","B26001_001",91,165,"Census Tract 20.01, District of Columbia, District of Columbia","B01003_001",2848,332,3.2
"11001002002","Census Tract 20.02, District of Columbia, District of Columbia","B26001_001",64,63,"Census Tract 20.02, District of Columbia, District of Columbia","B01003_001",3911,537,1.64
"11001002101","Census Tract 21.01, District of Columbia, District of Columbia","B26001_001",0,17,"Census Tract 21.01, District of Columbia, District of Columbia","B01003_001",5859,671,0
"11001002102","Census Tract 21.02, District of Columbia, District of Columbia","B26001_001",24,19,"Census Tract 21.02, District of Columbia, District of Columbia","B01003_001",4921,470,0.49
"11001002201","Census Tract 22.01, District of Columbia, District of Columbia","B26001_001",13,9,"Census Tract 22.01, District of Columbia, District of Columbia","B01003_001",3704,328,0.35
"11001002202","Census Tract 22.02, District of Columbia, District of Columbia","B26001_001",19,17,"Census Tract 22.02, District of Columbia, District of Columbia","B01003_001",3974,546,0.48
"11001002301","Census Tract 23.01, District of Columbia, District of Columbia","B26001_001",11,14,"Census Tract 23.01, District of Columbia, District of Columbia","B01003_001",3220,382,0.34
"11001002302","Census Tract 23.02, District of Columbia, District of Columbia","B26001_001",295,156,"Census Tract 23.02, District of Columbia, District of Columbia","B01003_001",1711,235,17.24
"11001002400","Census Tract 24, District of Columbia, District of Columbia","B26001_001",69,25,"Census Tract 24, District of Columbia, District of Columbia","B01003_001",4257,389,1.62
"11001002501","Census Tract 25.01, District of Columbia, District of Columbia","B26001_001",38,77,"Census Tract 25.01, District of Columbia, District of Columbia","B01003_001",2648,373,1.44
"11001002502","Census Tract 25.02, District of Columbia, District of Columbia","B26001_001",62,30,"Census Tract 25.02, District of Columbia, District of Columbia","B01003_001",5852,709,1.06
"11001002600","Census Tract 26, District of Columbia, District of Columbia","B26001_001",4,3,"Census Tract 26, District of Columbia, District of Columbia","B01003_001",2573,171,0.16
"11001002701","Census Tract 27.01, District of Columbia, District of Columbia","B26001_001",178,98,"Census Tract 27.01, District of Columbia, District of Columbia","B01003_001",5428,574,3.28
"11001002702","Census Tract 27.02, District of Columbia, District of Columbia","B26001_001",25,18,"Census Tract 27.02, District of Columbia, District of Columbia","B01003_001",6300,620,0.4
"11001002801","Census Tract 28.01, District of Columbia, District of Columbia","B26001_001",39,37,"Census Tract 28.01, District of Columbia, District of Columbia","B01003_001",4033,394,0.97
"11001002802","Census Tract 28.02, District of Columbia, District of Columbia","B26001_001",60,25,"Census Tract 28.02, District of Columbia, District of Columbia","B01003_001",4750,513,1.26
"11001002900","Census Tract 29, District of Columbia, District of Columbia","B26001_001",13,7,"Census Tract 29, District of Columbia, District of Columbia","B01003_001",4567,390,0.28
"11001003000","Census Tract 30, District of Columbia, District of Columbia","B26001_001",38,35,"Census Tract 30, District of Columbia, District of Columbia","B01003_001",3534,338,1.08
"11001003100","Census Tract 31, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 31, District of Columbia, District of Columbia","B01003_001",3350,406,0
"11001003200","Census Tract 32, District of Columbia, District of Columbia","B26001_001",31,16,"Census Tract 32, District of Columbia, District of Columbia","B01003_001",4997,547,0.62
"11001003301","Census Tract 33.01, District of Columbia, District of Columbia","B26001_001",10,6,"Census Tract 33.01, District of Columbia, District of Columbia","B01003_001",3619,389,0.28
"11001003302","Census Tract 33.02, District of Columbia, District of Columbia","B26001_001",34,56,"Census Tract 33.02, District of Columbia, District of Columbia","B01003_001",2338,224,1.45
"11001003400","Census Tract 34, District of Columbia, District of Columbia","B26001_001",1970,306,"Census Tract 34, District of Columbia, District of Columbia","B01003_001",4716,492,41.77
"11001003500","Census Tract 35, District of Columbia, District of Columbia","B26001_001",2572,284,"Census Tract 35, District of Columbia, District of Columbia","B01003_001",5603,585,45.9
"11001003600","Census Tract 36, District of Columbia, District of Columbia","B26001_001",149,92,"Census Tract 36, District of Columbia, District of Columbia","B01003_001",5036,642,2.96
"11001003700","Census Tract 37, District of Columbia, District of Columbia","B26001_001",443,266,"Census Tract 37, District of Columbia, District of Columbia","B01003_001",5860,555,7.56
"11001003800","Census Tract 38, District of Columbia, District of Columbia","B26001_001",81,40,"Census Tract 38, District of Columbia, District of Columbia","B01003_001",4969,549,1.63
"11001003900","Census Tract 39, District of Columbia, District of Columbia","B26001_001",55,22,"Census Tract 39, District of Columbia, District of Columbia","B01003_001",4492,358,1.22
"11001004001","Census Tract 40.01, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 40.01, District of Columbia, District of Columbia","B01003_001",4120,441,0
"11001004002","Census Tract 40.02, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 40.02, District of Columbia, District of Columbia","B01003_001",2998,267,0
"11001004100","Census Tract 41, District of Columbia, District of Columbia","B26001_001",10,10,"Census Tract 41, District of Columbia, District of Columbia","B01003_001",2759,225,0.36
"11001004201","Census Tract 42.01, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 42.01, District of Columbia, District of Columbia","B01003_001",3625,283,0
"11001004202","Census Tract 42.02, District of Columbia, District of Columbia","B26001_001",121,61,"Census Tract 42.02, District of Columbia, District of Columbia","B01003_001",2635,246,4.59
"11001004300","Census Tract 43, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 43, District of Columbia, District of Columbia","B01003_001",3720,297,0
"11001004400","Census Tract 44, District of Columbia, District of Columbia","B26001_001",38,23,"Census Tract 44, District of Columbia, District of Columbia","B01003_001",5702,376,0.67
"11001004600","Census Tract 46, District of Columbia, District of Columbia","B26001_001",16,16,"Census Tract 46, District of Columbia, District of Columbia","B01003_001",2947,308,0.54
"11001004701","Census Tract 47.01, District of Columbia, District of Columbia","B26001_001",3,4,"Census Tract 47.01, District of Columbia, District of Columbia","B01003_001",4478,641,0.07
"11001004702","Census Tract 47.02, District of Columbia, District of Columbia","B26001_001",322,168,"Census Tract 47.02, District of Columbia, District of Columbia","B01003_001",2558,226,12.59
"11001004801","Census Tract 48.01, District of Columbia, District of Columbia","B26001_001",55,74,"Census Tract 48.01, District of Columbia, District of Columbia","B01003_001",2223,284,2.47
"11001004802","Census Tract 48.02, District of Columbia, District of Columbia","B26001_001",41,27,"Census Tract 48.02, District of Columbia, District of Columbia","B01003_001",3548,382,1.16
"11001004901","Census Tract 49.01, District of Columbia, District of Columbia","B26001_001",76,124,"Census Tract 49.01, District of Columbia, District of Columbia","B01003_001",2600,301,2.92
"11001004902","Census Tract 49.02, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 49.02, District of Columbia, District of Columbia","B01003_001",2842,300,0
"11001005001","Census Tract 50.01, District of Columbia, District of Columbia","B26001_001",139,170,"Census Tract 50.01, District of Columbia, District of Columbia","B01003_001",2116,249,6.57
"11001005002","Census Tract 50.02, District of Columbia, District of Columbia","B26001_001",82,40,"Census Tract 50.02, District of Columbia, District of Columbia","B01003_001",6051,487,1.36
"11001005201","Census Tract 52.01, District of Columbia, District of Columbia","B26001_001",0,17,"Census Tract 52.01, District of Columbia, District of Columbia","B01003_001",6224,503,0
"11001005301","Census Tract 53.01, District of Columbia, District of Columbia","B26001_001",17,11,"Census Tract 53.01, District of Columbia, District of Columbia","B01003_001",4999,308,0.34
"11001005500","Census Tract 55, District of Columbia, District of Columbia","B26001_001",253,109,"Census Tract 55, District of Columbia, District of Columbia","B01003_001",6632,721,3.81
"11001005600","Census Tract 56, District of Columbia, District of Columbia","B26001_001",1783,963,"Census Tract 56, District of Columbia, District of Columbia","B01003_001",6964,1006,25.6
"11001005800","Census Tract 58, District of Columbia, District of Columbia","B26001_001",150,244,"Census Tract 58, District of Columbia, District of Columbia","B01003_001",2781,315,5.39
"11001005900","Census Tract 59, District of Columbia, District of Columbia","B26001_001",417,177,"Census Tract 59, District of Columbia, District of Columbia","B01003_001",2882,299,14.47
"11001006202","Census Tract 62.02, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 62.02, District of Columbia, District of Columbia","B01003_001",117,94,0
"11001006400","Census Tract 64, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 64, District of Columbia, District of Columbia","B01003_001",2130,280,0
"11001006500","Census Tract 65, District of Columbia, District of Columbia","B26001_001",129,54,"Census Tract 65, District of Columbia, District of Columbia","B01003_001",2583,277,4.99
"11001006600","Census Tract 66, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 66, District of Columbia, District of Columbia","B01003_001",1904,208,0
"11001006700","Census Tract 67, District of Columbia, District of Columbia","B26001_001",23,18,"Census Tract 67, District of Columbia, District of Columbia","B01003_001",4213,234,0.55
"11001006801","Census Tract 68.01, District of Columbia, District of Columbia","B26001_001",57,33,"Census Tract 68.01, District of Columbia, District of Columbia","B01003_001",2017,195,2.83
"11001006802","Census Tract 68.02, District of Columbia, District of Columbia","B26001_001",20,14,"Census Tract 68.02, District of Columbia, District of Columbia","B01003_001",2342,224,0.85
"11001006804","Census Tract 68.04, District of Columbia, District of Columbia","B26001_001",2945,251,"Census Tract 68.04, District of Columbia, District of Columbia","B01003_001",2949,251,99.86
"11001006900","Census Tract 69, District of Columbia, District of Columbia","B26001_001",11,8,"Census Tract 69, District of Columbia, District of Columbia","B01003_001",2181,192,0.5
"11001007000","Census Tract 70, District of Columbia, District of Columbia","B26001_001",552,329,"Census Tract 70, District of Columbia, District of Columbia","B01003_001",2794,430,19.76
"11001007100","Census Tract 71, District of Columbia, District of Columbia","B26001_001",10,12,"Census Tract 71, District of Columbia, District of Columbia","B01003_001",3064,403,0.33
"11001007200","Census Tract 72, District of Columbia, District of Columbia","B26001_001",292,437,"Census Tract 72, District of Columbia, District of Columbia","B01003_001",4584,514,6.37
"11001007301","Census Tract 73.01, District of Columbia, District of Columbia","B26001_001",697,273,"Census Tract 73.01, District of Columbia, District of Columbia","B01003_001",4002,392,17.42
"11001007304","Census Tract 73.04, District of Columbia, District of Columbia","B26001_001",236,132,"Census Tract 73.04, District of Columbia, District of Columbia","B01003_001",3514,467,6.72
"11001007401","Census Tract 74.01, District of Columbia, District of Columbia","B26001_001",23,12,"Census Tract 74.01, District of Columbia, District of Columbia","B01003_001",2453,200,0.94
"11001007403","Census Tract 74.03, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 74.03, District of Columbia, District of Columbia","B01003_001",3500,371,0
"11001007404","Census Tract 74.04, District of Columbia, District of Columbia","B26001_001",10,13,"Census Tract 74.04, District of Columbia, District of Columbia","B01003_001",3795,466,0.26
"11001007406","Census Tract 74.06, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 74.06, District of Columbia, District of Columbia","B01003_001",3061,468,0
"11001007407","Census Tract 74.07, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 74.07, District of Columbia, District of Columbia","B01003_001",2734,308,0
"11001007408","Census Tract 74.08, District of Columbia, District of Columbia","B26001_001",512,202,"Census Tract 74.08, District of Columbia, District of Columbia","B01003_001",3548,454,14.43
"11001007409","Census Tract 74.09, District of Columbia, District of Columbia","B26001_001",0,12,"Census Tract 74.09, District of Columbia, District of Columbia","B01003_001",3802,410,0
"11001007502","Census Tract 75.02, District of Columbia, District of Columbia","B26001_001",457,221,"Census Tract 75.02, District of Columbia, District of Columbia","B01003_001",5361,522,8.52
"11001007503","Census Tract 75.03, District of Columbia, District of Columbia","B26001_001",73,128,"Census Tract 75.03, District of Columbia, District of Columbia","B01003_001",2694,301,2.71
"11001007504","Census Tract 75.04, District of Columbia, District of Columbia","B26001_001",29,36,"Census Tract 75.04, District of Columbia, District of Columbia","B01003_001",2780,341,1.04
"11001007601","Census Tract 76.01, District of Columbia, District of Columbia","B26001_001",86,64,"Census Tract 76.01, District of Columbia, District of Columbia","B01003_001",4182,548,2.06
"11001007603","Census Tract 76.03, District of Columbia, District of Columbia","B26001_001",5,10,"Census Tract 76.03, District of Columbia, District of Columbia","B01003_001",3950,501,0.13
"11001007604","Census Tract 76.04, District of Columbia, District of Columbia","B26001_001",26,28,"Census Tract 76.04, District of Columbia, District of Columbia","B01003_001",3766,348,0.69
"11001007605","Census Tract 76.05, District of Columbia, District of Columbia","B26001_001",126,54,"Census Tract 76.05, District of Columbia, District of Columbia","B01003_001",3609,411,3.49
"11001007703","Census Tract 77.03, District of Columbia, District of Columbia","B26001_001",31,20,"Census Tract 77.03, District of Columbia, District of Columbia","B01003_001",5267,785,0.59
"11001007707","Census Tract 77.07, District of Columbia, District of Columbia","B26001_001",23,11,"Census Tract 77.07, District of Columbia, District of Columbia","B01003_001",4423,531,0.52
"11001007708","Census Tract 77.08, District of Columbia, District of Columbia","B26001_001",19,10,"Census Tract 77.08, District of Columbia, District of Columbia","B01003_001",3070,319,0.62
"11001007709","Census Tract 77.09, District of Columbia, District of Columbia","B26001_001",18,10,"Census Tract 77.09, District of Columbia, District of Columbia","B01003_001",2165,256,0.83
"11001007803","Census Tract 78.03, District of Columbia, District of Columbia","B26001_001",43,21,"Census Tract 78.03, District of Columbia, District of Columbia","B01003_001",3473,467,1.24
"11001007804","Census Tract 78.04, District of Columbia, District of Columbia","B26001_001",267,196,"Census Tract 78.04, District of Columbia, District of Columbia","B01003_001",3214,570,8.31
"11001007806","Census Tract 78.06, District of Columbia, District of Columbia","B26001_001",14,9,"Census Tract 78.06, District of Columbia, District of Columbia","B01003_001",2080,281,0.67
"11001007807","Census Tract 78.07, District of Columbia, District of Columbia","B26001_001",30,25,"Census Tract 78.07, District of Columbia, District of Columbia","B01003_001",2314,276,1.3
"11001007808","Census Tract 78.08, District of Columbia, District of Columbia","B26001_001",35,29,"Census Tract 78.08, District of Columbia, District of Columbia","B01003_001",4289,590,0.82
"11001007809","Census Tract 78.09, District of Columbia, District of Columbia","B26001_001",27,17,"Census Tract 78.09, District of Columbia, District of Columbia","B01003_001",2805,423,0.96
