"GEOID","estimate","moe","pct"
"11001000100",1076,336,36.29
"11001000201",0,36,0
"11001000202",505,239,25.65
"11001000300",646,253,24.06
"11001000400",286,99,39.78
"11001000501",1866,309,87.85
"11001000502",1181,195,66.24
"11001000600",1248,311,52.57
"11001000701",3386,440,91.02
"11001000702",2084,452,85.41
"11001000801",1576,275,52.1
"11001000802",412,201,28.39
"11001000901",169,84,10.35
"11001000902",39,41,4.34
"11001001001",351,143,12.32
"11001001002",1173,286,53.91
"11001001100",935,316,41.37
"11001001200",1530,337,58.44
"11001001301",1327,201,63.98
"11001001302",4697,466,89.13
"11001001401",664,156,43.92
"11001001402",621,203,40.17
"11001001500",160,121,7.37
"11001001600",68,94,3.96
"11001001702",473,196,34.6
"11001001803",1212,287,73.28
"11001001804",1306,447,58.28
"11001001901",121,81,7.26
"11001001902",62,76,7.16
"11001002001",425,158,39.65
"11001002002",515,216,34.82
"11001002101",1022,411,43.71
"11001002102",402,197,17.58
"11001002201",65,78,5.39
"11001002202",297,165,20.16
"11001002301",111,90,9.28
"11001002302",875,202,79.19
"11001002400",289,158,19.57
"11001002501",306,182,28.71
"11001002502",1189,383,46.81
"11001002600",229,102,21.89
"11001002701",1871,453,64.99
"11001002702",990,342,40.49
"11001002801",1442,352,77.15
"11001002802",1637,307,76.85
"11001002900",588,217,34.35
"11001003000",874,231,55.92
"11001003100",381,175,29.04
"11001003200",432,258,22.67
"11001003301",192,125,11.9
"11001003302",71,52,7.04
"11001003400",323,178,22.37
"11001003500",472,143,38.34
"11001003600",1506,438,66.29
"11001003700",2151,476,79.31
"11001003800",2340,492,82.54
"11001003900",2239,403,76.99
"11001004001",1602,382,67.4
"11001004002",1437,265,74.65
"11001004100",1142,245,66.78
"11001004201",1245,315,58.81
"11001004202",1118,249,59.12
"11001004300",1476,373,69.39
"11001004400",1353,355,49.51
"11001004600",258,130,18.34
"11001004701",2147,269,86.85
"11001004702",1422,123,97.6
"11001004801",392,182,32.34
"11001004802",1019,295,56.21
"11001004901",512,172,43.03
"11001004902",1179,284,76.71
"11001005001",277,137,27.67
"11001005002",3317,514,87.52
"11001005201",3582,706,80.08
"11001005301",2929,465,79.85
"11001005500",4001,660,81.9
"11001005600",3609,402,85.5
"11001005800",2090,235,92.52
"11001005900",1599,154,98.46
"11001006202",40,87,74.07
"11001006400",388,137,32.07
"11001006500",335,158,22.47
"11001006600",145,106,13.04
"11001006700",203,123,10.53
"11001006801",176,84,18.22
"11001006802",150,72,14.22
"11001006804",0,36,0
"11001006900",237,142,18.94
"11001007000",159,101,12.67
"11001007100",661,226,47.49
"11001007200",2031,203,83.37
"11001007301",33,30,2.59
"11001007304",477,150,33.36
"11001007401",418,133,38.53
"11001007403",538,147,45.48
"11001007404",674,162,46.68
"11001007406",951,179,83.86
"11001007407",626,179,45.36
"11001007408",479,125,36.73
"11001007409",810,181,49.39
"11001007502",790,256,39.36
"11001007503",351,73,32.41
"11001007504",555,174,40.66
"11001007601",440,246,18.63
"11001007603",397,348,16.35
"11001007604",875,313,43.62
"11001007605",1164,243,62.25
"11001007703",1022,268,42.06
"11001007707",461,142,25.22
"11001007708",322,142,24.25
"11001007709",232,109,20
"11001007803",342,195,19.59
"11001007804",465,235,33.82
"11001007806",240,93,22.14
"11001007807",334,100,34.12
"11001007808",371,160,22.64
"11001007809",335,159,24.6
"11001007901",326,112,18.04
"11001007903",17,32,1.87
"11001008001",94,94,6.63
"11001008002",225,111,13.68
"11001008100",224,107,15.26
"11001008200",471,187,30.89
"11001008301",85,70,7.76
"11001008302",135,88,13.16
"11001008402",386,167,33.02
"11001008410",5,32,0.78
"11001008701",204,94,18.85
"11001008702",249,112,29.29
"11001008802",176,103,8.66
"11001008803",134,74,20.24
"11001008804",134,116,9.44
"11001008903",509,183,29.96
"11001008904",688,199,35.95
"11001009000",1030,240,55.44
"11001009102",504,243,23.9
"11001009201",303,127,35.19
"11001009203",286,192,21.93
"11001009204",1109,265,76.17
"11001009301",100,124,8.12
"11001009302",144,99,26.28
"11001009400",174,114,9.46
"11001009501",1054,244,53.75
"11001009503",0,36,0
"11001009504",161,111,11.24
"11001009505",7,35,0.56
"11001009507",29,52,4.72
"11001009508",653,262,37.88
"11001009509",0,36,0
"11001009601",71,62,8.07
"11001009602",510,231,30.8
"11001009603",631,180,35.06
"11001009604",77,57,7.36
"11001009700",486,211,36.62
"11001009801",461,135,49.25
"11001009802",340,90,38.37
"11001009803",559,202,38.58
"11001009804",596,111,53.69
"11001009807",326,158,20.16
"11001009810",531,181,43.38
"11001009811",1273,281,59.35
"11001009901",30,42,2.69
"11001009902",215,134,16.04
"11001009903",47,55,6.06
"11001009904",662,142,51.32
"11001009905",499,129,36.21
"11001009906",208,85,26.77
"11001009907",120,106,9.69
"11001010100",1995,198,97.27
"11001010200",1111,123,70.85
"11001010300",467,192,35.9
"11001010400",569,221,31.65
"11001010500",1613,224,69.47
"11001010600",1427,216,49.38
"11001010700",1122,135,87.52
"11001010800",1067,183,97
"11001010900",611,188,42.2
"11001011000",2021,291,78.27
"11001011100",228,116,12.08
