"GEOID","NAME","variable","estimate","moe","summary_est","summary_moe","pct"
"11001000100","Census Tract 1, District of Columbia, District of Columbia","B23025_005",141,83,4350,315,3.24
"11001000201","Census Tract 2.01, District of Columbia, District of Columbia","B23025_005",95,83,3685,384,2.58
"11001000202","Census Tract 2.02, District of Columbia, District of Columbia","B23025_005",106,57,4370,546,2.43
"11001000300","Census Tract 3, District of Columbia, District of Columbia","B23025_005",136,87,5372,583,2.53
"11001000400","Census Tract 4, District of Columbia, District of Columbia","B23025_005",18,16,1334,140,1.35
"11001000501","Census Tract 5.01, District of Columbia, District of Columbia","B23025_005",61,58,3153,302,1.93
"11001000502","Census Tract 5.02, District of Columbia, District of Columbia","B23025_005",43,30,2665,207,1.61
"11001000600","Census Tract 6, District of Columbia, District of Columbia","B23025_005",89,64,4020,303,2.21
"11001000701","Census Tract 7.01, District of Columbia, District of Columbia","B23025_005",123,83,4765,368,2.58
"11001000702","Census Tract 7.02, District of Columbia, District of Columbia","B23025_005",103,136,3124,360,3.3
"11001000801","Census Tract 8.01, District of Columbia, District of Columbia","B23025_005",170,109,5701,521,2.98
"11001000802","Census Tract 8.02, District of Columbia, District of Columbia","B23025_005",73,47,2592,249,2.82
"11001000901","Census Tract 9.01, District of Columbia, District of Columbia","B23025_005",277,123,6851,763,4.04
"11001000902","Census Tract 9.02, District of Columbia, District of Columbia","B23025_005",27,19,1794,127,1.51
"11001001001","Census Tract 10.01, District of Columbia, District of Columbia","B23025_005",90,67,6158,364,1.46
"11001001002","Census Tract 10.02, District of Columbia, District of Columbia","B23025_005",120,78,3198,414,3.75
"11001001100","Census Tract 11, District of Columbia, District of Columbia","B23025_005",94,63,3893,308,2.41
"11001001200","Census Tract 12, District of Columbia, District of Columbia","B23025_005",51,51,4123,336,1.24
"11001001301","Census Tract 13.01, District of Columbia, District of Columbia","B23025_005",97,76,3510,308,2.76
"11001001302","Census Tract 13.02, District of Columbia, District of Columbia","B23025_005",205,106,7071,568,2.9
"11001001401","Census Tract 14.01, District of Columbia, District of Columbia","B23025_005",87,48,2675,192,3.25
"11001001402","Census Tract 14.02, District of Columbia, District of Columbia","B23025_005",58,43,2702,274,2.15
"11001001500","Census Tract 15, District of Columbia, District of Columbia","B23025_005",89,66,4738,350,1.88
"11001001600","Census Tract 16, District of Columbia, District of Columbia","B23025_005",199,77,3441,215,5.78
"11001001702","Census Tract 17.02, District of Columbia, District of Columbia","B23025_005",182,95,2708,228,6.72
"11001001803","Census Tract 18.03, District of Columbia, District of Columbia","B23025_005",154,78,3061,301,5.03
"11001001804","Census Tract 18.04, District of Columbia, District of Columbia","B23025_005",310,181,4533,580,6.84
"11001001901","Census Tract 19.01, District of Columbia, District of Columbia","B23025_005",202,88,3309,315,6.1
"11001001902","Census Tract 19.02, District of Columbia, District of Columbia","B23025_005",104,66,2006,187,5.18
"11001002001","Census Tract 20.01, District of Columbia, District of Columbia","B23025_005",117,68,2332,281,5.02
"11001002002","Census Tract 20.02, District of Columbia, District of Columbia","B23025_005",256,155,3240,397,7.9
"11001002101","Census Tract 21.01, District of Columbia, District of Columbia","B23025_005",329,149,4526,437,7.27
"11001002102","Census Tract 21.02, District of Columbia, District of Columbia","B23025_005",303,133,4183,370,7.24
"11001002201","Census Tract 22.01, District of Columbia, District of Columbia","B23025_005",318,123,3187,288,9.98
"11001002202","Census Tract 22.02, District of Columbia, District of Columbia","B23025_005",314,133,3057,450,10.27
"11001002301","Census Tract 23.01, District of Columbia, District of Columbia","B23025_005",157,73,2700,301,5.81
"11001002302","Census Tract 23.02, District of Columbia, District of Columbia","B23025_005",20,29,1619,229,1.24
"11001002400","Census Tract 24, District of Columbia, District of Columbia","B23025_005",283,136,3719,348,7.61
"11001002501","Census Tract 25.01, District of Columbia, District of Columbia","B23025_005",142,108,2218,301,6.4
"11001002502","Census Tract 25.02, District of Columbia, District of Columbia","B23025_005",224,147,4755,457,4.71
"11001002600","Census Tract 26, District of Columbia, District of Columbia","B23025_005",114,48,2217,146,5.14
